epoch,step,val_loss
0,627,1.1211961507797241
1,1255,1.0224727392196655
2,1883,0.979675829410553
3,2511,0.9533125758171082
4,3139,0.9558621048927307
5,3767,0.9378206729888916
6,4395,0.9514116644859314
7,5023,0.9332349896430969
8,5651,0.9462867379188538
9,6279,0.932766318321228
10,6907,0.9372252821922302
11,7535,0.9432939291000366
12,8163,0.9456951022148132
13,8791,0.9535704255104065
14,9419,0.9586370587348938
15,10047,0.9606644511222839
16,10675,0.9749827980995178
17,11303,0.9698652029037476
18,11931,0.9754536747932434
19,12559,0.9879165291786194
20,13187,0.9981129169464111
21,13815,1.0010193586349487
22,14443,1.0193686485290527
23,15071,1.0308494567871094
24,15699,1.0316553115844727
25,16327,1.0539021492004395
26,16955,1.049062967300415
27,17583,1.048555850982666
28,18211,1.066304087638855
29,18839,1.0746692419052124
30,19467,1.0858829021453857
31,20095,1.0796546936035156
32,20723,1.0918633937835693
33,21351,1.1056221723556519
34,21979,1.11057710647583
35,22607,1.125528335571289
36,23235,1.1270041465759277
37,23863,1.146159052848816
38,24491,1.1412805318832397
39,25119,1.1612917184829712
40,25747,1.1781014204025269
41,26375,1.1677005290985107
42,27003,1.1780836582183838
43,27631,1.2008863687515259
44,28259,1.19565749168396
45,28887,1.2051421403884888
46,29515,1.2099775075912476
47,30143,1.2288670539855957
48,30771,1.2330635786056519
49,31399,1.2199599742889404
50,32027,1.2457362413406372
51,32655,1.2478739023208618
52,33283,1.2667583227157593
53,33911,1.2605149745941162
54,34539,1.2591608762741089
55,35167,1.286261796951294
56,35795,1.2573989629745483
57,36423,1.2799606323242188
58,37051,1.3073256015777588
59,37679,1.3009593486785889
60,38307,1.3050655126571655
61,38935,1.3059420585632324
62,39563,1.3033843040466309
63,40191,1.3346887826919556
64,40819,1.325297474861145
